"D" "Ds" "dist_type" "epsilon" "ppv"
"260" "10000" "15" "norm" "-0.6" "44.1048034934498"
"261" "10000" "15" "norm" "-0.4" "59.1703056768559"
"262" "10000" "15" "norm" "-0.2" "75.3275109170306"
"263" "10000" "15" "norm" "0" "100"
"264" "10000" "15" "norm" "0.2" "75.1091703056769"
"265" "10000" "15" "norm" "0.4" "57.4235807860262"
"266" "10000" "15" "norm" "0.6" "38.8646288209607"
"267" "10000" "15" "norm" "0.8" "31.4410480349345"
"268" "10000" "15" "norm" "1" "24.6724890829694"
"269" "10000" "15" "norm" "1.2" "23.5807860262009"
"270" "10000" "15" "norm" "1.4" "21.3973799126638"
"271" "10000" "15" "norm" "1.6" "22.9257641921397"
"272" "10000" "15" "norm" "1.8" "23.5807860262009"
"273" "10000" "15" "norm" "2" "25.3275109170306"
"274" "10000" "15" "uniform" "-2" "37.2384937238494"
"275" "10000" "15" "uniform" "-1.8" "35.1464435146443"
"276" "10000" "15" "uniform" "-1.6" "33.2635983263598"
"277" "10000" "15" "uniform" "-1.4" "30.9623430962343"
"278" "10000" "15" "uniform" "-1.2" "24.8953974895398"
"279" "10000" "15" "uniform" "-1" "22.0125786163522"
"280" "10000" "15" "uniform" "-0.8" "20.0836820083682"
"281" "10000" "15" "uniform" "-0.6" "24.2677824267782"
"282" "10000" "15" "uniform" "-0.4" "35.7740585774059"
"283" "10000" "15" "uniform" "-0.2" "61.7154811715481"
"284" "10000" "15" "uniform" "0" "100"
"285" "10000" "15" "uniform" "0.2" "64.0167364016736"
"286" "10000" "15" "uniform" "0.4" "35.1464435146443"
"287" "10000" "15" "uniform" "0.6" "22.1757322175732"
"288" "10000" "15" "uniform" "0.8" "19.2872117400419"
"289" "10000" "15" "uniform" "1" "22.1757322175732"
"290" "10000" "15" "uniform" "1.2" "28.0334728033473"
"291" "10000" "15" "uniform" "1.4" "32.0083682008368"
"292" "10000" "15" "uniform" "1.6" "35.1464435146443"
"293" "10000" "15" "uniform" "1.8" "37.4476987447699"
"294" "10000" "15" "uniform" "2" "40.1673640167364"
"295" "10000" "15" "right_skew" "-2" "30.1310043668122"
"296" "10000" "15" "right_skew" "-1.8" "29.9126637554585"
"297" "10000" "15" "right_skew" "-1.6" "29.9781181619256"
"298" "10000" "15" "right_skew" "-1.4" "29.7356828193833"
"299" "10000" "15" "right_skew" "-1.2" "29.490022172949"
"300" "10000" "15" "right_skew" "-1" "28.7946428571429"
"301" "10000" "15" "right_skew" "-0.8" "26.5765765765766"
"302" "10000" "15" "right_skew" "-0.6" "24.9448123620309"
"303" "10000" "15" "right_skew" "-0.4" "30.0653594771242"
"304" "10000" "15" "right_skew" "-0.2" "60.3036876355748"
"305" "10000" "15" "right_skew" "0" "100"
"306" "10000" "15" "right_skew" "0.2" "89.587852494577"
"307" "10000" "15" "right_skew" "0.4" "77.6572668112798"
"308" "10000" "15" "right_skew" "0.6" "64.8590021691974"
"309" "10000" "15" "right_skew" "0.8" "56.8329718004338"
"310" "10000" "15" "right_skew" "1" "51.8438177874187"
"311" "10000" "15" "right_skew" "1.2" "49.0238611713666"
"312" "10000" "15" "right_skew" "1.4" "44.6854663774403"
"313" "10000" "15" "right_skew" "1.6" "42.9501084598698"
"314" "10000" "15" "right_skew" "1.8" "42.0824295010846"
"315" "10000" "15" "right_skew" "2" "41.648590021692"
"316" "10000" "15" "left_skew" "-2" "36.7864693446089"
"317" "10000" "15" "left_skew" "-1.8" "39.5348837209302"
"318" "10000" "15" "left_skew" "-1.6" "41.2262156448203"
"319" "10000" "15" "left_skew" "-1.4" "42.9175475687104"
"320" "10000" "15" "left_skew" "-1.2" "44.1860465116279"
"321" "10000" "15" "left_skew" "-1" "46.723044397463"
"322" "10000" "15" "left_skew" "-0.8" "52.0084566596194"
"323" "10000" "15" "left_skew" "-0.6" "56.8710359408034"
"324" "10000" "15" "left_skew" "-0.4" "71.8816067653277"
"325" "10000" "15" "left_skew" "-0.2" "89.2177589852008"
"326" "10000" "15" "left_skew" "0" "100"
"327" "10000" "15" "left_skew" "0.2" "54.3340380549683"
"328" "10000" "15" "left_skew" "0.4" "26.3269639065817"
"329" "10000" "15" "left_skew" "0.6" "24.8917748917749"
"330" "10000" "15" "left_skew" "0.8" "24.400871459695"
"331" "10000" "15" "left_skew" "1" "24.5119305856833"
"332" "10000" "15" "left_skew" "1.2" "25.2699784017279"
"333" "10000" "15" "left_skew" "1.4" "26.2365591397849"
"334" "10000" "15" "left_skew" "1.6" "26.338329764454"
"335" "10000" "15" "left_skew" "1.8" "26.2820512820513"
"336" "10000" "15" "left_skew" "2" "26.4392324093817"
"337" "10000" "50" "norm" "-2" "25.3363228699552"
"338" "10000" "50" "norm" "-1.8" "25.1121076233184"
"339" "10000" "50" "norm" "-1.6" "26.457399103139"
"340" "10000" "50" "norm" "-1.4" "26.9058295964126"
"341" "10000" "50" "norm" "-1.2" "29.1111111111111"
"342" "10000" "50" "norm" "-1" "31.390134529148"
"343" "10000" "50" "norm" "-0.8" "32.7354260089686"
"344" "10000" "50" "norm" "-0.6" "36.9955156950673"
"345" "10000" "50" "norm" "-0.4" "50"
"346" "10000" "50" "norm" "-0.2" "74.8878923766816"
"347" "10000" "50" "norm" "0" "100"
"348" "10000" "50" "norm" "0.2" "75.1121076233184"
"349" "10000" "50" "norm" "0.4" "52.0179372197309"
"350" "10000" "50" "norm" "0.6" "36.0986547085202"
"351" "10000" "50" "norm" "0.8" "31.6143497757848"
"352" "10000" "50" "norm" "1" "27.1300448430493"
"353" "10000" "50" "norm" "1.2" "24.4394618834081"
"354" "10000" "50" "norm" "1.4" "23.7668161434978"
"355" "10000" "50" "norm" "1.6" "22.8699551569507"
"356" "10000" "50" "norm" "1.8" "23.9910313901345"
"357" "10000" "50" "norm" "2" "24.7191011235955"
"358" "10000" "50" "uniform" "-2" "30.35413153457"
"359" "10000" "50" "uniform" "-1.8" "30.0168634064081"
"360" "10000" "50" "uniform" "-1.6" "29.1736930860034"
"361" "10000" "50" "uniform" "-1.4" "28.1618887015177"
"362" "10000" "50" "uniform" "-1.2" "24.7892074198988"
"363" "10000" "50" "uniform" "-1" "21.9224283305228"
"364" "10000" "50" "uniform" "-0.8" "20.3045685279188"
"365" "10000" "50" "uniform" "-0.6" "23.4401349072513"
"366" "10000" "50" "uniform" "-0.4" "36.424957841484"
"367" "10000" "50" "uniform" "-0.2" "53.9629005059022"
